川A12C6K	2018-7-15 07:31:45	103.967140	30.481560	8792.6	13	东	四川省成都市双流县	ACC开
川A26LK5	2018-7-15 10:10:33	103.966980	30.481405	21042.9	14	东北	四川省成都市双流县	ACC开
川AP214Q	2018-7-15 08:22:44	105.844919	32.438174	57770.0	6	西南	四川省广元市[新民街]距广元市粮食局65米	ACC开
川CRT203	2018-07-30 07:39:37	104.843774	28.125076	18585.5	13	北	四川省宜宾市珙县	ACC开
川KEK317	2018-07-29 08:27:21	104.695257	29.543229	811.0	18	北	四川省内江市威远县距城北中学297米	ACC开
川KHM773	2018-07-29 09:50:04	104.423743	29.454429	3395.1	29	西南	四川省自贡市荣县[桂林街]距小师弟发廊19米	ACC开
川KKZ813	2018-07-29 15:25:19	104.661566	29.500555	0.0	14	西	四川省内江市威远县	ACC开
川A12C6K	2018-7-15 07:32:45	103.968936	30.483639	8793.1	62	东北	四川省成都市双流县	ACC开
川A26LK5	2018-7-15 10:11:33	103.966994	30.480929	21043.0	35	西南	四川省成都市双流县	ACC开
川AP214Q	2018-7-15 08:22:56	105.844905	32.438059	57770.0	6	东	四川省广元市[新民街]距广元市粮食局65米	ACC开
川CRT203	2018-07-30 07:39:59	104.843854	28.125787	18585.6	11	东北	四川省宜宾市珙县	ACC开
川KEK317	2018-07-29 08:27:51	104.695643	29.544675	811.1	17	北	四川省内江市威远县[S207]距城北中学309米	ACC开
川KHM773	2018-07-29 09:50:18	104.424183	29.453853	3395.1	11	南	四川省自贡市荣县[桂林街]距荣州宾馆（荣县）20米	ACC开
川KKZ813	2018-07-29 15:26:19	104.660156	29.501031	0.1	12	西北	四川省内江市威远县	ACC开
川A12C6K	2018-7-15 07:33:45	103.973471	30.490306	8794.0	50	东北	四川省成都市双流县	ACC开
川A26LK5	2018-7-15 10:12:33	103.970629	30.486138	21043.8	57	东北	四川省成都市双流县	ACC开
川AP214Q	2018-7-15 08:23:14	105.845512	32.437971	57770.0	16	东	四川省广元市[新民街]距广元市粮食局65米	ACC开
川CRT203	2018-07-30 07:40:18	104.844493	28.126084	18585.7	10	东	四川省宜宾市珙县	ACC开
川KEK317	2018-07-29 08:28:23	104.695638	29.545247	811.2	18	西	四川省内江市威远县[S207]距城北中学347米	ACC开
川KHM773	2018-07-29 09:50:24	104.424310	29.453853	3395.1	6	东	四川省自贡市荣县[桂林街]距荣州宾馆（荣县）20米	ACC开
川KKZ813	2018-07-29 15:26:49	104.658916	29.502422	0.4	51	西	四川省内江市威远县距金四方果业公司446米	ACC开
川A12C6K	2018-7-15 07:34:45	103.980771	30.494108	8795.1	76	东南	四川省成都市双流县	ACC开
川A26LK5	2018-7-15 10:13:33	103.976353	30.494492	21044.9	61	东北	四川省成都市双流县	ACC开
川AP214Q	2018-7-15 08:23:38	105.846974	32.437555	57770.0	19	南	四川省广元市[G108]距广元市教育局69米	ACC开
川CRT203	2018-07-30 07:51:35	104.845630	28.126905	18585.8	11	东北	四川省宜宾市珙县	ACC开
